iter	Passed	Remaining
242	769	2398
243	772	2392
244	774	2386
245	776	2381
246	782	2384
247	784	2379
248	787	2373
249	789	2367
250	791	2362
251	794	2357
252	796	2351
253	799	2346
254	804	2350
255	806	2344
256	809	2340
257	811	2335
258	814	2329
259	816	2323
260	819	2320
261	821	2315
262	824	2310
263	827	2305
264	829	2300
265	832	2295
266	834	2290
267	836	2285
268	840	2282
269	843	2279
270	845	2274
271	848	2270
272	850	2265
273	852	2259
274	855	2254
275	858	2251
276	860	2246
277	863	2242
278	869	2246
279	871	2241
280	874	2237
281	876	2232
282	879	2227
283	881	2223
284	884	2219
285	900	2247
286	902	2242
287	905	2237
288	908	2234
289	910	2230
290	913	2226
291	916	2222
292	919	2218
293	922	2214
294	924	2209
295	927	2205
296	930	2202
297	933	2198
298	935	2194
299	938	2189
300	941	2185
301	943	2180
302	945	2175
303	948	2171
304	954	2175
305	957	2171
306	960	2167
307	962	2162
308	965	2158
309	967	2153
310	970	2150
311	973	2146
312	976	2142
313	978	2138
314	981	2134
315	984	2129
316	986	2125
317	989	2121
318	991	2117
319	997	2119
320	999	2115
321	1002	2111
322	1005	2107
323	1008	2103
324	1010	2099
325	1013	2095
326	1019	2097
327	1021	2093
328	1024	2088
329	1026	2083
330	1029	2080
331	1031	2075
332	1034	2071
333	1037	2068
334	1040	2064
335	1042	2061
336	1045	2057
337	1053	2063
338	1056	2060
339	1060	2058
340	1062	2054
341	1065	2049
342	1068	2046
343	1070	2041
344	1073	2037
345	1076	2034
346	1079	2030
347	1082	2027
348	1085	2024
349	1087	2020
350	1090	2015
351	1093	2013
352	1096	2009
353	1098	2004
354	1102	2002
355	1104	1998
356	1107	1995
357	1110	1991
358	1113	1987
359	1116	1984
360	1118	1980
361	1121	1975
362	1129	1982
363	1141	1994
364	1143	1990
365	1146	1985
366	1149	1982
367	1152	1978
368	1154	1974
369	1157	1971
370	1160	1967
371	1163	1963
372	1166	1960
373	1168	1956
374	1171	1952
375	1174	1948
376	1176	1944
377	1179	1940
378	1182	1937
379	1184	1932
380	1187	1928
381	1190	1925
382	1192	1921
383	1194	1916
384	1197	1913
385	1200	1909
386	1203	1905
387	1206	1902
388	1208	1898
389	1211	1895
390	1214	1891
391	1217	1887
392	1219	1883
393	1222	1879
394	1224	1875
395	1227	1872
396	1230	1868
397	1232	1864
398	1235	1860
399	1237	1856
400	1240	1853
401	1243	1849
402	1245	1845
403	1248	1841
404	1251	1838
405	1253	1834
406	1256	1830
407	1259	1826
408	1261	1823
409	1264	1819
410	1266	1815
411	1269	1812
412	1272	1807
413	1274	1803
414	1277	1801
415	1280	1797
416	1282	1793
417	1285	1790
418	1288	1786
419	1290	1782
420	1293	1778
421	1295	1774
422	1298	1771
423	1301	1767
424	1303	1764
425	1306	1760
426	1309	1756
427	1311	1752
428	1313	1748
429	1316	1745
430	1319	1741
431	1321	1737
432	1324	1734
433	1327	1730
434	1329	1726
435	1332	1723
436	1334	1719
437	1337	1715
438	1339	1712
439	1342	1708
440	1344	1704
441	1347	1700
442	1349	1697
443	1351	1693
444	1354	1689
445	1356	1685
446	1359	1681
447	1362	1678
448	1364	1674
449	1367	1670
450	1369	1667
451	1372	1663
452	1374	1659
453	1376	1656
454	1379	1652
455	1394	1663
456	1397	1660
457	1399	1656
458	1402	1652
459	1405	1649
460	1407	1645
461	1409	1641
462	1412	1638
463	1414	1634
464	1416	1630
465	1419	1626
466	1422	1623
467	1424	1619
468	1426	1615
469	1430	1612
470	1432	1609
471	1435	1605
472	1437	1601
473	1439	1597
474	1442	1594
475	1448	1594
476	1450	1590
477	1453	1587
478	1456	1584
479	1459	1581
480	1462	1577
481	1465	1575
482	1468	1572
483	1471	1568
484	1473	1564
485	1476	1561
486	1478	1557
487	1481	1553
488	1484	1550
489	1486	1547
490	1488	1543
491	1491	1540
492	1493	1536
493	1496	1532
494	1498	1528
495	1501	1525
496	1503	1521
497	1506	1518
498	1508	1514
499	1511	1511
500	1513	1507
501	1516	1503
502	1518	1500
503	1520	1496
504	1523	1493
505	1525	1489
506	1528	1485
507	1530	1482
508	1533	1478
509	1535	1475
510	1538	1471
511	1540	1468
512	1543	1465
513	1545	1461
514	1548	1457
515	1550	1454
516	1552	1450
517	1555	1447
518	1557	1443
519	1560	1440
520	1562	1436
521	1564	1433
522	1567	1429
523	1569	1425
524	1572	1422
525	1574	1418
526	1576	1415
527	1579	1412
528	1581	1408
529	1584	1404
530	1586	1401
531	1589	1398
532	1591	1394
533	1593	1391
534	1596	1387
535	1598	1383
536	1601	1380
537	1603	1377
538	1606	1373
539	1608	1370
540	1611	1367
541	1614	1363
542	1616	1360
543	1618	1357
544	1621	1353
545	1623	1350
546	1626	1346
547	1636	1349
548	1638	1346
549	1641	1342
550	1644	1339
551	1646	1336
552	1649	1332
553	1651	1329
554	1653	1326
555	1656	1322
556	1658	1319
557	1661	1315
558	1664	1312
559	1666	1309
560	1668	1305
561	1671	1302
562	1674	1299
563	1676	1296
564	1679	1293
565	1681	1289
566	1684	1286
567	1686	1283
568	1689	1279
569	1691	1276
570	1694	1273
571	1696	1269
572	1699	1266
573	1701	1263
574	1704	1259
575	1707	1256
576	1709	1253
577	1712	1250
578	1714	1246
579	1716	1243
580	1719	1239
581	1721	1236
582	1723	1233
583	1726	1229
584	1729	1226
585	1731	1223
586	1733	1219
587	1736	1216
588	1738	1213
589	1740	1209
590	1743	1206
591	1745	1203
592	1748	1199
593	1750	1196
594	1753	1193
595	1755	1189
596	1757	1186
597	1760	1183
598	1763	1180
599	1765	1176
600	1767	1173
601	1770	1170
602	1772	1166
603	1775	1163
604	1777	1160
605	1780	1157
606	1783	1154
607	1786	1151
608	1788	1148
609	1791	1145
610	1793	1142
611	1796	1138
612	1799	1135
613	1801	1132
614	1804	1129
615	1806	1126
616	1809	1123
617	1811	1119
618	1814	1116
619	1817	1113
620	1819	1110
621	1822	1107
622	1825	1104
623	1827	1101
624	1830	1098
625	1832	1094
626	1835	1091
627	1838	1088
628	1840	1085
629	1843	1082
630	1847	1080
631	1850	1077
632	1853	1074
633	1856	1071
634	1859	1068
635	1863	1066
636	1875	1069
637	1879	1066
638	1882	1063
639	1887	1061
640	1890	1058
641	1893	1055
642	1896	1053
643	1899	1050
644	1902	1047
645	1905	1044
646	1908	1041
647	1912	1038
648	1915	1036
649	1919	1033
650	1921	1030
651	1924	1027
652	1928	1024
653	1930	1021
654	1933	1018
655	1936	1015
656	1938	1012
657	1940	1008
658	1943	1005
659	1945	1002
660	1948	999
661	1950	995
662	1953	992
663	1955	989
664	1957	986
665	1960	983
666	1963	980
667	1965	977
668	1968	973
669	1970	970
670	1973	967
671	1975	964
672	1978	961
673	1980	957
674	1983	954
675	1985	951
676	1987	948
677	1990	945
678	1992	942
679	1995	938
680	1997	935
681	2000	932
682	2002	929
683	2005	926
684	2007	923
685	2009	919
686	2012	916
687	2014	913
688	2017	910
689	2020	907
690	2023	904
691	2025	901
692	2027	898
693	2030	895
694	2032	891
695	2034	888
696	2036	885
697	2039	882
698	2042	879
699	2045	876
700	2048	873
701	2050	870
702	2053	867
703	2055	864
704	2058	861
705	2060	858
706	2063	855
707	2065	851
708	2068	848
709	2070	845
710	2073	842
711	2075	839
712	2078	836
713	2080	833
714	2082	830
715	2085	827
716	2087	824
717	2090	820
718	2092	817
719	2094	814
720	2097	811
721	2100	808
722	2102	805
723	2105	802
724	2107	799
725	2110	796
726	2112	793
727	2114	790
728	2128	791
729	2131	788
730	2134	785
731	2137	782
732	2140	779
733	2143	776
734	2146	773
735	2148	770
736	2151	767
737	2155	765
738	2158	762
739	2161	759
740	2164	756
741	2167	753
742	2169	750
743	2172	747
744	2174	744
745	2177	741
746	2179	738
747	2182	735
748	2184	732
749	2187	729
750	2190	726
751	2194	723
752	2197	720
753	2200	717
754	2202	714
755	2205	711
756	2209	709
757	2212	706
758	2215	703
759	2218	700
760	2220	697
761	2224	694
762	2227	691
763	2230	688
764	2233	686
765	2236	683
766	2239	680
767	2242	677
768	2246	674
769	2249	671
770	2252	668
771	2255	666
772	2258	663
773	2261	660
774	2264	657
775	2267	654
776	2270	651
777	2274	648
778	2276	645
779	2280	643
780	2283	640
781	2285	637
782	2288	634
783	2291	631
784	2294	628
785	2297	625
786	2300	622
787	2302	619
788	2304	616
789	2307	613
790	2309	610
791	2312	607
792	2314	604
793	2316	601
794	2319	598
795	2321	595
796	2324	591
797	2326	589
798	2329	585
799	2331	582
800	2333	579
801	2336	576
802	2338	573
803	2340	570
804	2343	567
805	2345	564
806	2347	561
807	2350	558
808	2352	555
809	2354	552
810	2357	549
811	2359	546
812	2362	543
813	2364	540
814	2374	539
815	2381	537
816	2384	534
817	2386	530
818	2388	527
819	2391	524
820	2393	521
821	2396	518
822	2398	515
823	2401	512
824	2404	510
825	2407	507
826	2410	504
827	2413	501
828	2415	498
829	2417	495
830	2420	492
831	2422	489
832	2424	486
833	2427	483
834	2429	480
835	2432	477
836	2434	474
837	2437	471
838	2439	468
839	2442	465
840	2444	462
841	2447	459
842	2449	456
843	2451	453
844	2454	450
845	2456	447
846	2458	444
847	2461	441
848	2463	438
849	2465	435
850	2468	432
851	2470	429
852	2473	426
853	2475	423
854	2477	420
855	2480	417
856	2482	414
857	2484	411
858	2487	408
859	2489	405
860	2492	402
861	2495	399
862	2497	396
863	2500	393
864	2503	390
865	2505	387
866	2507	384
867	2510	381
868	2512	378
869	2514	375
870	2517	372
871	2519	369
872	2521	366
873	2524	363
874	2526	360
875	2528	357
876	2531	355
877	2533	352
878	2536	349
879	2538	346
880	2541	343
881	2543	340
882	2545	337
883	2548	334
884	2550	331
885	2553	328
886	2555	325
887	2557	322
888	2560	319
889	2562	316
890	2565	313
891	2567	310
892	2569	307
893	2572	305
894	2574	302
895	2577	299
896	2579	296
897	2581	293
898	2584	290
899	2586	287
900	2589	284
901	2591	281
902	2593	278
903	2596	275
904	2598	272
905	2601	269
906	2603	266
907	2606	264
908	2615	261
909	2621	259
910	2623	256
911	2625	253
912	2628	250
913	2630	247
914	2633	244
915	2635	241
916	2638	238
917	2640	235
918	2643	232
919	2645	230
920	2648	227
921	2651	224
922	2654	221
923	2656	218
924	2658	215
925	2661	212
926	2663	209
927	2666	206
928	2668	203
929	2671	201
930	2673	198
931	2676	195
932	2678	192
933	2680	189
934	2683	186
935	2685	183
936	2688	180
937	2690	177
938	2693	174
939	2695	172
940	2697	169
941	2700	166
942	2702	163
943	2705	160
944	2708	157
945	2710	154
946	2712	151
947	2715	148
948	2717	146
949	2719	143
950	2722	140
951	2724	137
952	2727	134
953	2729	131
954	2732	128
955	2734	125
956	2736	122
957	2738	120
958	2741	117
959	2744	114
960	2747	111
961	2750	108
962	2752	105
963	2755	102
964	2758	100
965	2760	97
966	2763	94
967	2766	91
968	2769	88
969	2771	85
970	2774	82
971	2777	79
972	2780	77
973	2782	74
974	2785	71
975	2789	68
976	2792	65
977	2795	62
978	2798	60
979	2802	57
980	2805	54
981	2810	51
982	2813	48
983	2816	45
984	2819	42
985	2822	40
986	2825	37
987	2828	34
988	2831	31
989	2835	28
990	2837	25
991	2849	22
992	2854	20
993	2857	17
994	2859	14
995	2863	11
996	2865	8
997	2868	5
998	2872	2
999	2874	0
