iter	MultiClass
0	0.9829274307
1	0.8858294888
2	0.8100518095
3	0.7392581932
4	0.6810454308
5	0.6204482243
6	0.568972498
7	0.5261353549
8	0.4815832734
9	0.4471169278
10	0.4180427874
11	0.3904783482
12	0.3634607369
13	0.3412895132
14	0.3217833842
15	0.3023666762
16	0.2867158671
17	0.2710328258
18	0.2528940679
19	0.2388735207
20	0.2235266576
21	0.2097630735
22	0.1992502371
23	0.1897913883
24	0.1798695844
25	0.1729519295
26	0.1658855493
27	0.1585396238
28	0.1499792572
29	0.1426419352
30	0.1362548515
31	0.1297417084
32	0.1243583108
33	0.1184096288
34	0.1138057303
35	0.1094205069
36	0.1046336569
37	0.1003983074
38	0.09721993251
39	0.09291977014
40	0.08965315811
41	0.08594215367
42	0.08269144921
43	0.08032104837
44	0.07755372971
45	0.07583601299
46	0.07301256144
47	0.0710189544
48	0.06895619817
49	0.06729287165
50	0.06463132854
51	0.06238625619
52	0.06011240497
53	0.05870202139
54	0.05722345295
55	0.05593923386
56	0.05503500891
57	0.05388641543
58	0.05270554743
59	0.05085442476
60	0.04979377836
61	0.04891080093
62	0.04785855737
63	0.04708014286
64	0.04642976225
65	0.04535469969
66	0.04407408934
67	0.04334019665
68	0.04232910007
69	0.04135245862
70	0.04062302199
71	0.0395724573
72	0.03850454898
73	0.03793146635
74	0.0372834961
75	0.03654987217
76	0.03600818321
77	0.03496034532
78	0.03453079507
79	0.03417896062
80	0.03345120772
81	0.03280695259
82	0.03229932794
83	0.03185118428
84	0.03135651154
85	0.03087582164
86	0.0302919156
87	0.02984658278
88	0.0293878201
89	0.02912834454
90	0.02869376842
91	0.02827581696
92	0.02791458877
93	0.02735287372
94	0.02695733994
95	0.02650435395
96	0.02629948772
97	0.0258988231
98	0.02556060422
99	0.02521940214
100	0.02485792145
101	0.02459250235
102	0.02424112445
103	0.02393017827
104	0.02364746463
105	0.02315536691
106	0.02266766167
107	0.02237333631
108	0.02218478872
109	0.02193068433
110	0.02170433462
111	0.02135259888
112	0.02116740998
113	0.02102805868
114	0.02059059968
115	0.02048874036
116	0.02026691189
117	0.01998852606
118	0.01983516866
119	0.01968147321
120	0.01947900537
121	0.01926186972
122	0.01907378904
123	0.01866948881
124	0.01858903257
125	0.01816365524
126	0.01797915224
127	0.01781137145
128	0.01731701882
129	0.01716144585
130	0.0168288332
131	0.01677128032
132	0.01670740531
133	0.01656278589
134	0.0164086592
135	0.01624981279
136	0.01583620041
137	0.01559082896
138	0.01554013345
139	0.01518528017
140	0.01484600819
141	0.01450368936
142	0.01428156681
143	0.01423242119
144	0.01401560846
145	0.01392395642
146	0.0136701139
147	0.01332061736
148	0.013223847
149	0.01307830565
150	0.01298622856
151	0.01294439693
152	0.01264698033
153	0.01239696775
154	0.01229898978
155	0.01226823686
156	0.01200820322
157	0.01184233443
158	0.01155764349
159	0.01131083537
160	0.01124151906
161	0.01117483953
162	0.01110230013
163	0.01102970485
164	0.01095212655
165	0.01087786362
166	0.01080505853
167	0.01061721299
168	0.0105520621
169	0.01033394995
170	0.01027962356
171	0.01022261334
172	0.01015822357
173	0.009936822645
174	0.009762697767
175	0.009708169593
176	0.009658422599
177	0.009526707772
178	0.009478911394
179	0.00943171162
180	0.009298878495
181	0.009242414456
182	0.009185728093
183	0.009167620336
184	0.009117087108
185	0.008992245062
186	0.008868120595
187	0.008820759237
188	0.008804279752
189	0.008788581269
190	0.008741337133
191	0.008699025374
192	0.008652576419
193	0.008536460604
194	0.008416109861
195	0.008373106328
196	0.008338161085
197	0.008230407131
198	0.008162360227
199	0.008122223251
200	0.007976446121
201	0.007939724709
202	0.007806210495
203	0.007692975213
204	0.007657730292
205	0.00762131338
206	0.007609726618
207	0.007576718495
208	0.007564660028
209	0.007552948474
210	0.007453552391
211	0.007442437306
212	0.007410301992
213	0.007378696069
214	0.007291820536
215	0.007264365923
216	0.007236698944
217	0.007207535716
218	0.007176609249
219	0.007147153278
220	0.00711892005
221	0.007023024892
222	0.006945805622
223	0.006918672736
224	0.006890974848
225	0.006801126451
226	0.006730059616
227	0.006720705119
228	0.00665567807
229	0.006630779141
230	0.006606891046
231	0.006579842328
232	0.006512449708
233	0.006488767956
234	0.006466211402
235	0.006458133866
236	0.006362713647
237	0.006284416913
238	0.006269535687
239	0.00624945848
240	0.006165237299
241	0.006111240508
242	0.006092537737
243	0.006034065502
244	0.005972545393
245	0.005954951696
246	0.005936745473
247	0.005877102211
