Model,Accuracy_mean,Accuracy_std,Accuracy,Precision_mean,Precision_std,Precision,Recall_mean,Recall_std,Recall,Specificity_mean,Specificity_std,Specificity,F1_mean,F1_std,F1,AUC_mean,AUC_std,AUC,MCC_mean,MCC_std,MCC,Kappa_mean,Kappa_std,Kappa
Logistic Reg.,0.9866666666666667,0.01703613468652651,0.9867 ± 0.0170,0.996051282051282,0.012050924614222571,0.9961 ± 0.0121,0.9826666666666668,0.022732831086237425,0.9827 ± 0.0227,0.9933333333333334,0.02034190510862431,0.9933 ± 0.0203,0.9891684006936109,0.01383313172753868,0.9892 ± 0.0138,0.9993777777777777,0.0018104281437982934,0.9994 ± 0.0018,0.9724375713769244,0.035352698498972004,0.9724 ± 0.0354,0.971834409939673,0.03600935258736324,0.9718 ± 0.0360
SVM,0.9841666666666669,0.019122262406426456,0.9842 ± 0.0191,0.992153846153846,0.015964406440751536,0.9922 ± 0.0160,0.9826666666666668,0.025042492623171708,0.9827 ± 0.0250,0.9866666666666667,0.02712254014483241,0.9867 ± 0.0271,0.9871798052554356,0.015529573265260128,0.9872 ± 0.0155,0.999288888888889,0.001843978152756046,0.9993 ± 0.0018,0.9672017435369101,0.039651088770793784,0.9672 ± 0.0397,0.9664752052120473,0.04042481274120253,0.9665 ± 0.0404
Decision Tree,0.9725,0.024870353490825593,0.9725 ± 0.0249,0.9828162393162394,0.02258686064287723,0.9828 ± 0.0226,0.9733333333333334,0.026435782090050666,0.9733 ± 0.0264,0.9711111111111113,0.037888051810395694,0.9711 ± 0.0379,0.9778470721621983,0.020027393292915096,0.9778 ± 0.0200,0.9722222222222222,0.026207736761418587,0.9722 ± 0.0262,0.9423236895420938,0.052690521846567334,0.9423 ± 0.0527,0.9415868992711097,0.052845984371228706,0.9416 ± 0.0528
Random Forest,0.9925000000000002,0.011652289992484986,0.9925 ± 0.0117,0.9884615384615384,0.01792659998843841,0.9885 ± 0.0179,1.0,0.0,1.0000 ± 0.0000,0.9800000000000001,0.031072773313293264,0.9800 ± 0.0311,0.9941176470588236,0.009139050974498039,0.9941 ± 0.0091,0.9994222222222223,0.0013866725611427942,0.9994 ± 0.0014,0.9841992800294026,0.024548609491660045,0.9842 ± 0.0245,0.9837837837837838,0.025194140524291836,0.9838 ± 0.0252
Grad. Boosting,0.9858333333333335,0.020430003853921935,0.9858 ± 0.0204,0.9894871794871795,0.01773588605297747,0.9895 ± 0.0177,0.988,0.02139932322487697,0.9880 ± 0.0214,0.9822222222222223,0.029985096340586905,0.9822 ± 0.0300,0.988623115913032,0.01644163675726149,0.9886 ± 0.0164,0.9990222222222224,0.0022674328207080317,0.9990 ± 0.0023,0.9702335307272273,0.04303226375384254,0.9702 ± 0.0430,0.9698448414237889,0.04343404437606897,0.9698 ± 0.0434
XGBoost,0.9850000000000001,0.018099342720014792,0.9850 ± 0.0181,0.9909230769230769,0.016738077308743396,0.9909 ± 0.0167,0.9853333333333334,0.02459791599433513,0.9853 ± 0.0246,0.9844444444444445,0.02867887114347175,0.9844 ± 0.0287,0.9878862211551288,0.014709504652975842,0.9879 ± 0.0147,0.9988444444444445,0.0029448745438783158,0.9988 ± 0.0029,0.9689565847195379,0.03736672671321875,0.9690 ± 0.0374,0.9681815431289116,0.03825123380758545,0.9682 ± 0.0383
CatBoost,0.9916666666666667,0.013666806839763363,0.9917 ± 0.0137,0.9896923076923075,0.017387643218872248,0.9897 ± 0.0174,0.9973333333333334,0.010148325268098505,0.9973 ± 0.0101,0.9822222222222223,0.0299850963405869,0.9822 ± 0.0300,0.9934112311591303,0.010836416047971514,0.9934 ± 0.0108,0.9990222222222224,0.00226743282070803,0.9990 ± 0.0023,0.9824444388467747,0.02887754399428099,0.9824 ± 0.0289,0.9820774458669196,0.02933998554310874,0.9821 ± 0.0293
KNN,0.9725000000000001,0.01897139407380092,0.9725 ± 0.0190,0.9920470085470084,0.0161855499637339,0.9920 ± 0.0162,0.9640000000000001,0.02647054315975427,0.9640 ± 0.0265,0.9866666666666667,0.02712254014483241,0.9867 ± 0.0271,0.9775726290516208,0.015539840211984715,0.9776 ± 0.0155,0.9946222222222222,0.010518996985142443,0.9946 ± 0.0105,0.9434473839100612,0.03912230012432359,0.9434 ± 0.0391,0.9420523544734071,0.039882862609068634,0.9421 ± 0.0399
Naive Bayes,0.9383333333333336,0.03579956976560329,0.9383 ± 0.0358,0.9792638424377554,0.028202419142678938,0.9793 ± 0.0282,0.9213333333333334,0.045161269135012776,0.9213 ± 0.0452,0.9666666666666668,0.04548588261473419,0.9667 ± 0.0455,0.9488100988776639,0.029907097856304143,0.9488 ± 0.0299,0.9816444444444444,0.02417733547037387,0.9816 ± 0.0242,0.8754429620321356,0.07274302236160576,0.8754 ± 0.0727,0.8714700396885606,0.07442067571533117,0.8715 ± 0.0744
