iter	Logloss
0	0.4899557877
1	0.3747484207
2	0.2881035042
3	0.2307595634
4	0.1862976265
5	0.1550566292
6	0.1319110012
7	0.1123085403
8	0.1020186043
9	0.09205917358
10	0.08097135544
11	0.07123734474
12	0.06407503128
13	0.05867513657
14	0.05314312935
15	0.04694698334
16	0.04441616058
17	0.04142421722
18	0.03849028111
19	0.03649748802
20	0.03396900654
21	0.03241489172
22	0.0301655817
23	0.02862519741
24	0.02642767429
25	0.02564699411
26	0.02471336126
27	0.02343047619
28	0.02229043722
29	0.0214848423
30	0.02087319374
31	0.01997652411
32	0.01898787737
33	0.01810687304
34	0.0171566534
35	0.01667430162
36	0.01580844641
37	0.01499994516
38	0.01436546326
39	0.0135927248
40	0.01313966274
41	0.01257438183
42	0.01204989314
43	0.01172210932
44	0.01141684651
45	0.01108514786
46	0.01066686392
47	0.01042926431
48	0.01012759089
49	0.00985085845
50	0.009603633285
51	0.009245364666
52	0.008926404119
53	0.008714176416
54	0.008508338928
55	0.008232992887
56	0.008048187494
57	0.007816064954
58	0.007676247358
59	0.007533023953
60	0.007403659821
61	0.007272732258
62	0.007078867555
63	0.006917482018
64	0.006750159264
65	0.00659427762
66	0.006447416544
67	0.006343415976
68	0.006251751781
69	0.006120752096
70	0.006019133329
71	0.005912331343
72	0.005831146836
73	0.00574641645
74	0.005671678185
75	0.005581966043
76	0.005513710976
77	0.005415117741
78	0.005350967646
79	0.005266441107
80	0.005204173326
81	0.005134137869
82	0.005045120716
83	0.004951819479
84	0.004897978902
85	0.004813233316
86	0.004733100533
87	0.004680469036
88	0.004605671167
89	0.004546077251
90	0.00449554801
91	0.004427538812
92	0.004363264441
93	0.00429974407
94	0.004240372181
95	0.004203726053
96	0.004144349396
97	0.004089844823
98	0.004030082226
99	0.003978899717
100	0.003936823905
101	0.003886015117
102	0.003851028979
103	0.003820821643
104	0.003789884746
105	0.003759752512
106	0.003730680943
107	0.003687214255
108	0.00363245368
109	0.003588895202
110	0.003557822704
